nome,url,porcao,calorias,carboidratos,proteinas,gorduras,gorduras_saturadas,fibras,acucares,sodio,data_coleta,categoria,codigo
Banana Prata 700G,https://www.paodeacucar.com/produto/153808/banana-prata-700g,50.0,49.0,13.0,0.6,0.0,0.0,0.0,0.0,0.0,2025-10-16 08:36:02,Não especificada,250474
Cebola Granel 600g (Aprox. 4 a 5 Unid),https://www.paodeacucar.com/produto/67204/cebola-granel-600g-(aprox--4-a-5-unid),100.0,130.0,29.0,5.0,0.0,0.0,1.0,0.0,60.0,2025-10-16 08:36:40,Não especificada,287760
"Batata 1,2KG (Aprox. 3 Unid)","https://www.paodeacucar.com/produto/67746/batata-1,2kg-(aprox--3-unid)",30.0,30.0,14.0,0.0,0.0,0.0,0.6,0.0,0.0,2025-10-16 08:37:02,Não especificada,287753
Azeite de Oliva Extra Virgem Clássico Português Gallo Vidro 500ml,https://www.paodeacucar.com/produto/100849/azeite-de-oliva-extra-virgem-classico-portugues-gallo-vidro-500ml,0.0,106.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,2025-10-16 08:37:22,Não especificada,5601252231164
Cenoura Granel 500g (Aprox. 2 a 3 Unid),https://www.paodeacucar.com/produto/65429/cenoura-granel-500g-(aprox--2-a-3-unid),50.0,21.0,4.8,0.0,0.0,0.0,0.0,0.0,27.0,2025-10-16 08:38:02,Não especificada,287869
Limao Tahiti 500g (Aprox. 3 a 4 Unid),https://www.paodeacucar.com/produto/101906/limao-tahiti-500g-(aprox--3-a-4-unid),100.0,29.0,8.1,0.6,0.6,0.0,0.6,0.0,29.0,2025-10-16 08:38:23,Não especificada,247511
Azeite Português de Oliva Extra Virgem ANDORINHA Vidro 500ml,https://www.paodeacucar.com/produto/86559/azeite-portugues-de-oliva-extra-virgem-andorinha-vidro-500ml,0.0,108.0,0.0,0.0,12.0,1.9,0.0,0.0,0.0,2025-10-16 08:38:42,Não especificada,5601216120152
Filezinho Sassami de Frango Congelado SADIA 1kg,https://www.paodeacucar.com/produto/128375/filezinho-sassami-de-frango-congelado-sadia-1kg,100.0,104.0,0.0,22.5,1.5,0.5,0.0,0.0,52.0,2025-10-16 08:39:01,Não especificada,7893000426092
Banana Nanica 700G,https://www.paodeacucar.com/produto/152956/banana-nanica-700g,50.0,47.0,11.0,0.6,0.0,0.0,0.0,0.0,21.0,2025-10-16 08:39:48,Não especificada,250399
Alho Granel 80g (1 Cabeça),https://www.paodeacucar.com/produto/47797/alho-granel-80g-(1-cabeca),20.0,23.0,4.8,1.4,0.0,0.0,0.9,0.0,0.0,2025-10-16 08:40:26,Não especificada,295406
Queijo Mussarela Importado Fatiado 150g,https://www.paodeacucar.com/produto/106824/queijo-mussarela-importado-fatiado-150g,100.0,320.0,0.0,27.0,24.0,13.0,0.0,0.0,700.0,2025-10-16 08:41:03,Não especificada,18449
Filé de Peito de Frango Congelado sem Pele sem Osso Sadia 1kg,https://www.paodeacucar.com/produto/65885/file-de-peito-de-frango-congelado-sem-pele-sem-osso-sadia-1kg,100.0,101.0,0.0,23.0,1.0,0.0,0.0,0.0,56.0,2025-10-16 08:41:21,Não especificada,7893000005945
Suco Integral Laranja Natural One Refrigerado Garrafa 900ml,https://www.paodeacucar.com/produto/292149/suco-integral-laranja-natural-one-refrigerado-garrafa-900ml,0.0,92.0,21.0,1.6,0.0,0.0,0.0,16.0,0.0,2025-10-16 08:41:39,Não especificada,7898553442933
Manga Palmer Nacional Granel 600g (1 Unidade),https://www.paodeacucar.com/produto/19246/manga-palmer-nacional-granel-600g-(1-unidade),100.0,58.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-16 08:41:57,Não especificada,227841
Abobrinha Italiana 800g (Aprox. 2 a 3 Unid),https://www.paodeacucar.com/produto/80045/abobrinha-italiana-800g-(aprox--2-a-3-unid),50.0,38.0,2.0,0.0,0.0,0.0,0.7,0.0,0.0,2025-10-16 08:42:15,Não especificada,336796
