nome,url,porcao,calorias,carboidratos,proteinas,gorduras,gorduras_saturadas,fibras,acucares,sodio,data_coleta,categoria,codigo
Leite UHT Integral Qualitá Caixa com Tampa 1l,https://www.paodeacucar.com/produto/164887/leite-uht-integral-qualita-caixa-com-tampa-1l,0.0,116.0,9.2,6.2,6.0,3.5,0.0,0.0,129.0,2025-10-16 20:55:49,Não especificada,7895000318636
"Suco Integral Laranja Natural One Refrigerado Garrafa 1,3l","https://www.paodeacucar.com/produto/1636196/suco-integral-laranja-natural-one-refrigerado-garrafa-1,3l",0.0,83.0,19.0,1.7,0.0,0.0,0.0,16.0,0.0,2025-10-16 20:56:46,Não especificada,7899916918768
Suco Integral Maçã Natural One Refrigerado Garrafa 900ml,https://www.paodeacucar.com/produto/292195/suco-integral-maca-natural-one-refrigerado-garrafa-900ml,0.0,84.0,21.0,0.0,0.0,0.0,0.0,15.0,0.0,2025-10-16 21:03:06,Não especificada,7898553442940
"Suco Uva Natural One Refrigerado Garrafa 1,3l","https://www.paodeacucar.com/produto/1636195/suco-uva-natural-one-refrigerado-garrafa-1,3l",0.0,88.0,22.0,0.0,0.0,0.0,0.0,13.0,13.0,2025-10-16 21:04:39,Não especificada,7899916918744
Leite Em Pó Ninho Integral Lata 380g,https://www.paodeacucar.com/produto/586550/leite-em-po-ninho-integral-lata-380g,25.0,124.0,9.4,6.4,0.3,4.4,0.0,9.0,98.0,2025-10-16 21:05:17,Não especificada,7891000325858
Água De Coco Kero Coco Caixa 1L,https://www.paodeacucar.com/produto/47384/agua-de-coco-kero-coco-caixa-1l,0.0,40.0,10.0,0.0,0.0,0.0,0.0,10.0,12.0,2025-10-16 21:05:35,Não especificada,7896828000239
Néctar Uva Del Valle Caixa 1l,https://www.paodeacucar.com/produto/53077/nectar-uva-del-valle-caixa-1l,0.0,84.0,21.0,0.0,0.0,0.0,0.0,21.0,9.5,2025-10-16 21:06:50,Não especificada,7898341430098
Refrigerante Coca-Cola Garrafa 200ml,https://www.paodeacucar.com/produto/365990/refrigerante-coca-cola-garrafa-200ml,0.0,88.0,21.0,0.0,0.0,0.0,0.0,21.0,10.0,2025-10-16 21:08:36,Não especificada,78908901
Água de Coco Esterilizada Taeq Caixa 1l,https://www.paodeacucar.com/produto/54940/agua-de-coco-esterilizada-taeq-caixa-1l,0.0,44.0,11.0,0.0,0.0,0.0,0.0,0.0,32.0,2025-10-16 21:09:13,Não especificada,7895000292035
Suco Limonada Natural One Refrigerado Garrafa 900ml,https://www.paodeacucar.com/produto/292148/suco-limonada-natural-one-refrigerado-garrafa-900ml,0.0,116.0,29.0,0.0,0.0,0.0,0.0,0.0,6.0,2025-10-16 21:10:31,Não especificada,7898553442957
Suco Uva e Maçã Natural One Ambiente Garrafa 900ml,https://www.paodeacucar.com/produto/339050/suco-uva-e-maca-natural-one-ambiente-garrafa-900ml,0.0,96.0,24.0,1.5,0.0,0.0,2.0,21.0,24.0,2025-10-16 21:10:49,Não especificada,7899916904839
"Suco Integral Uva Tinto Aurora Garrafa 1,5l","https://www.paodeacucar.com/produto/109875/suco-integral-uva-tinto-aurora-garrafa-1,5l",0.0,114.0,28.0,0.42,0.0,0.0,0.26,0.0,1.42,2025-10-16 21:11:08,Não especificada,7891141019838
